experiment,algorithm,run,T,epsilon,num_nodes,topology,avg_regret_per_round,avg_loss_per_round,mse
impact_privacy_budget,BDOO-convex,0,100000,0.1,9,grid3x3,0.020526518152749897,0.05307644204940596,0.047424965762989595
impact_privacy_budget,BDOO-convex,1,100000,0.1,9,grid3x3,0.016816312572132203,0.04956582046190117,0.043339053335389066
impact_privacy_budget,BDOO-convex,2,100000,0.1,9,grid3x3,0.02357325522089064,0.055969914305234666,0.049699717987823896
impact_privacy_budget,BDOO-convex,3,100000,0.1,9,grid3x3,0.012723768821974436,0.04542233777823216,0.03987693866727722
impact_privacy_budget,BDOO-convex,4,100000,0.1,9,grid3x3,0.026565628508370874,0.0589758665381056,0.053245174151912926
impact_privacy_budget,BDOO-convex,5,100000,0.1,9,grid3x3,0.02157703645355137,0.054421955929276344,0.04766030943808716
impact_privacy_budget,BDOO-convex,6,100000,0.1,9,grid3x3,0.016114982810064037,0.0491733771742685,0.04268212526179106
impact_privacy_budget,BDOO-convex,7,100000,0.1,9,grid3x3,0.02673850204804616,0.0594345998214382,0.05283317359471803
impact_privacy_budget,BDOO-convex,8,100000,0.1,9,grid3x3,0.01023788871048871,0.04290973347923006,0.036084412851560416
impact_privacy_budget,BDOO-convex,9,100000,0.1,9,grid3x3,0.016509851760271248,0.048968150769197444,0.04193782533550633
impact_privacy_budget,PBDOO-cor1,0,100000,0.1,9,grid3x3,8.323158143980882,8.355708067877538,5.782987138292251
impact_privacy_budget,PBDOO-cor1,1,100000,0.1,9,grid3x3,8.339011827838014,8.371761335727783,5.782227980488332
impact_privacy_budget,PBDOO-cor1,2,100000,0.1,9,grid3x3,8.331466804799007,8.363863463883352,5.779477297314965
impact_privacy_budget,PBDOO-cor1,3,100000,0.1,9,grid3x3,8.33862696437765,8.371325533333907,5.781387539298022
impact_privacy_budget,PBDOO-cor1,4,100000,0.1,9,grid3x3,8.325453972891058,8.357864210920793,5.780323805881145
impact_privacy_budget,PBDOO-cor1,5,100000,0.1,9,grid3x3,8.326047113922293,8.358892033398018,5.782474076445245
impact_privacy_budget,PBDOO-cor1,6,100000,0.1,9,grid3x3,8.318400001805818,8.351458396170022,5.780911170862964
impact_privacy_budget,PBDOO-cor1,7,100000,0.1,9,grid3x3,8.327017862170798,8.359713959944191,5.782309366628981
impact_privacy_budget,PBDOO-cor1,8,100000,0.1,9,grid3x3,8.31935125416137,8.352023098930111,5.783292614983403
impact_privacy_budget,PBDOO-cor1,9,100000,0.1,9,grid3x3,8.332355687345117,8.364813986354044,5.781774267686417
impact_privacy_budget,PTF-PBDOO-cor1,0,100000,0.1,9,grid3x3,1.4784403411603495,1.5109902650569718,0.9611174491012625
impact_privacy_budget,PTF-PBDOO-cor1,1,100000,0.1,9,grid3x3,1.4733191046899234,1.5060686125796894,0.9597643723313605
impact_privacy_budget,PTF-PBDOO-cor1,2,100000,0.1,9,grid3x3,1.4759561380035684,1.508352797087844,0.9589093699866756
impact_privacy_budget,PTF-PBDOO-cor1,3,100000,0.1,9,grid3x3,1.4765550708306556,1.5092536397868397,0.9623177507998422
impact_privacy_budget,PTF-PBDOO-cor1,4,100000,0.1,9,grid3x3,1.4784303211818908,1.5108405592115957,0.9618698697085285
impact_privacy_budget,PTF-PBDOO-cor1,5,100000,0.1,9,grid3x3,1.4757660135958388,1.5086109330715487,0.9608614280116362
impact_privacy_budget,PTF-PBDOO-cor1,6,100000,0.1,9,grid3x3,1.4779349432801372,1.51099333764429,0.9630973298239693
impact_privacy_budget,PTF-PBDOO-cor1,7,100000,0.1,9,grid3x3,1.474806708729746,1.5075028065031126,0.9585476352389006
impact_privacy_budget,PTF-PBDOO-cor1,8,100000,0.1,9,grid3x3,1.4771088147225802,1.5097806594913015,0.9629386113854649
impact_privacy_budget,PTF-PBDOO-cor1,9,100000,0.1,9,grid3x3,1.4801477934208838,1.5126060924297489,0.9629204144475398
impact_privacy_budget,PBDOO-strong,0,100000,0.1,9,grid3x3,51.43291325822286,51.93403464190361,1.1675030872677827
impact_privacy_budget,PBDOO-strong,1,100000,0.1,9,grid3x3,51.444604951637864,51.946019197611214,1.167494823617517
impact_privacy_budget,PBDOO-strong,2,100000,0.1,9,grid3x3,51.441361907233734,51.942470087459995,1.1675149733503973
impact_privacy_budget,PBDOO-strong,3,100000,0.1,9,grid3x3,51.427244815190406,51.92845312330208,1.167478263911213
impact_privacy_budget,PBDOO-strong,4,100000,0.1,9,grid3x3,51.43122255898501,51.93217695349176,1.1674974652839913
impact_privacy_budget,PBDOO-strong,5,100000,0.1,9,grid3x3,51.42867808213513,51.93039027975013,1.1674760744440098
impact_privacy_budget,PBDOO-strong,6,100000,0.1,9,grid3x3,51.43457952732177,51.93610788801941,1.1674754160982714
impact_privacy_budget,PBDOO-strong,7,100000,0.1,9,grid3x3,51.42239706392562,51.92356185388178,1.1674966298600782
impact_privacy_budget,PBDOO-strong,8,100000,0.1,9,grid3x3,51.43363853324941,51.93490039512964,1.1675011129158706
impact_privacy_budget,PBDOO-strong,9,100000,0.1,9,grid3x3,51.43220188378631,51.933390685296146,1.1675091186355218
impact_privacy_budget,PTF-PBDOO-strong,0,100000,0.1,9,grid3x3,27.80625690240076,28.307378286081413,1.1995806281345478
impact_privacy_budget,PTF-PBDOO-strong,1,100000,0.1,9,grid3x3,27.807618107795573,28.30903235376885,1.2034480005108759
impact_privacy_budget,PTF-PBDOO-strong,2,100000,0.1,9,grid3x3,27.812504227285274,28.313612407511442,1.2006389276151663
impact_privacy_budget,PTF-PBDOO-strong,3,100000,0.1,9,grid3x3,27.807689409826096,28.308897717937683,1.203542180506385
impact_privacy_budget,PTF-PBDOO-strong,4,100000,0.1,9,grid3x3,27.80896933160132,28.309923726107968,1.2053965788228205
impact_privacy_budget,PTF-PBDOO-strong,5,100000,0.1,9,grid3x3,27.813048672717695,28.31476087033262,1.2050364976230652
impact_privacy_budget,PTF-PBDOO-strong,6,100000,0.1,9,grid3x3,27.808973659536218,28.310502020233766,1.2080954512368502
impact_privacy_budget,PTF-PBDOO-strong,7,100000,0.1,9,grid3x3,27.803512634807877,28.304677424763945,1.2056770088838882
impact_privacy_budget,PTF-PBDOO-strong,8,100000,0.1,9,grid3x3,27.80878471915774,28.310046581037902,1.2047097281303947
impact_privacy_budget,PTF-PBDOO-strong,9,100000,0.1,9,grid3x3,27.808501095918523,28.309689897428246,1.2042970299170437
impact_privacy_budget,BDOO-convex,0,100000,1.0,9,grid3x3,0.02671350909589592,0.05927820465009436,0.053519122583304886
impact_privacy_budget,BDOO-convex,1,100000,1.0,9,grid3x3,0.020352000296736908,0.0529025857309736,0.04465161352526014
impact_privacy_budget,BDOO-convex,2,100000,1.0,9,grid3x3,0.017203393118503732,0.04998162956492457,0.04271207262430826
impact_privacy_budget,BDOO-convex,3,100000,1.0,9,grid3x3,0.021520409863431268,0.0541483950219678,0.04878773924467466
impact_privacy_budget,BDOO-convex,4,100000,1.0,9,grid3x3,0.012396478140781472,0.04501350600409458,0.039338110986057544
impact_privacy_budget,BDOO-convex,5,100000,1.0,9,grid3x3,0.016099305506313832,0.04861818239820373,0.041609962875392086
impact_privacy_budget,BDOO-convex,6,100000,1.0,9,grid3x3,0.019327761840896247,0.051910235760403,0.04626047800565412
impact_privacy_budget,BDOO-convex,7,100000,1.0,9,grid3x3,0.02898288534216433,0.061594834956778526,0.05242710726876945
impact_privacy_budget,BDOO-convex,8,100000,1.0,9,grid3x3,0.012462624882572174,0.0449287577031893,0.038007383826111754
impact_privacy_budget,BDOO-convex,9,100000,1.0,9,grid3x3,0.017082192091141,0.04992096231671293,0.04403876168190297
impact_privacy_budget,PBDOO-cor1,0,100000,1.0,9,grid3x3,5.460424352102371,5.492989047656569,2.9363290737696297
impact_privacy_budget,PBDOO-cor1,1,100000,1.0,9,grid3x3,5.458728644579905,5.4912792300141415,2.9409746975037865
impact_privacy_budget,PBDOO-cor1,2,100000,1.0,9,grid3x3,5.451294464229301,5.484072700675722,2.9337496426574226
impact_privacy_budget,PBDOO-cor1,3,100000,1.0,9,grid3x3,5.451828907449589,5.484456892608126,2.9334104292304364
impact_privacy_budget,PBDOO-cor1,4,100000,1.0,9,grid3x3,5.4413124083592255,5.473929436222539,2.929818047242868
impact_privacy_budget,PBDOO-cor1,5,100000,1.0,9,grid3x3,5.466886053485383,5.499404930377273,2.9470442094095985
impact_privacy_budget,PBDOO-cor1,6,100000,1.0,9,grid3x3,5.471668363539082,5.504250837458589,2.9447853345361916
impact_privacy_budget,PBDOO-cor1,7,100000,1.0,9,grid3x3,5.456785942465347,5.48939789207996,2.9481914644753915
impact_privacy_budget,PBDOO-cor1,8,100000,1.0,9,grid3x3,5.460419227769323,5.49288536058994,2.9393625399163366
impact_privacy_budget,PBDOO-cor1,9,100000,1.0,9,grid3x3,5.463468921041602,5.496307691267174,2.9313010310157805
impact_privacy_budget,PTF-PBDOO-cor1,0,100000,1.0,9,grid3x3,0.470922571017553,0.5034872665717061,0.19572599313979053
impact_privacy_budget,PTF-PBDOO-cor1,1,100000,1.0,9,grid3x3,0.4702377611526238,0.5027883465868414,0.19655454164209618
impact_privacy_budget,PTF-PBDOO-cor1,2,100000,1.0,9,grid3x3,0.4706487448819916,0.5034269813283677,0.19716187458926046
impact_privacy_budget,PTF-PBDOO-cor1,3,100000,1.0,9,grid3x3,0.4693392342404563,0.5019672193989682,0.19628123069436323
impact_privacy_budget,PTF-PBDOO-cor1,4,100000,1.0,9,grid3x3,0.46985013213438304,0.502467159997644,0.19668360688069203
impact_privacy_budget,PTF-PBDOO-cor1,5,100000,1.0,9,grid3x3,0.46976418794355,0.5022830648354337,0.19642604589785057
impact_privacy_budget,PTF-PBDOO-cor1,6,100000,1.0,9,grid3x3,0.47020856749581896,0.5027910414152825,0.19645282798548813
impact_privacy_budget,PTF-PBDOO-cor1,7,100000,1.0,9,grid3x3,0.47040862491962077,0.5030205745342171,0.19640787427528522
impact_privacy_budget,PTF-PBDOO-cor1,8,100000,1.0,9,grid3x3,0.4698811106678908,0.5023472434884765,0.19620398080350088
impact_privacy_budget,PTF-PBDOO-cor1,9,100000,1.0,9,grid3x3,0.46985595486246196,0.5026947250879815,0.19549983570479038
impact_privacy_budget,PBDOO-strong,0,100000,1.0,9,grid3x3,45.67160720899027,46.17264446366618,1.0905319393665391
impact_privacy_budget,PBDOO-strong,1,100000,1.0,9,grid3x3,45.670703002692974,46.171845570833625,1.0879337285175479
impact_privacy_budget,PBDOO-strong,2,100000,1.0,9,grid3x3,45.66020438501302,46.16152201120526,1.0886340615333334
impact_privacy_budget,PBDOO-strong,3,100000,1.0,9,grid3x3,45.668789504470716,46.17004079350442,1.0885891089384978
impact_privacy_budget,PBDOO-strong,4,100000,1.0,9,grid3x3,45.66461543711793,46.16571118125249,1.090319762117464
impact_privacy_budget,PBDOO-strong,5,100000,1.0,9,grid3x3,45.67874032007053,46.17973228793674,1.0896109302154788
impact_privacy_budget,PBDOO-strong,6,100000,1.0,9,grid3x3,45.66295880569398,46.163886005899776,1.0899826843136786
impact_privacy_budget,PBDOO-strong,7,100000,1.0,9,grid3x3,45.676485685133876,46.177708879073414,1.0892234164418866
impact_privacy_budget,PBDOO-strong,8,100000,1.0,9,grid3x3,45.671795282857225,46.17302158501986,1.0893713899436714
impact_privacy_budget,PBDOO-strong,9,100000,1.0,9,grid3x3,45.6747490297381,46.176109626139606,1.090483296474944
impact_privacy_budget,PTF-PBDOO-strong,0,100000,1.0,9,grid3x3,10.084111312809691,10.585148567485524,0.40313236462845325
impact_privacy_budget,PTF-PBDOO-strong,1,100000,1.0,9,grid3x3,10.071802899636326,10.57294546777688,0.40627593601121115
impact_privacy_budget,PTF-PBDOO-strong,2,100000,1.0,9,grid3x3,10.080066363636163,10.581383989828314,0.40646985744961855
impact_privacy_budget,PTF-PBDOO-strong,3,100000,1.0,9,grid3x3,10.07021751792471,10.571468806958336,0.40454192318481846
impact_privacy_budget,PTF-PBDOO-strong,4,100000,1.0,9,grid3x3,10.087884570863261,10.588980314997734,0.4047644256811991
impact_privacy_budget,PTF-PBDOO-strong,5,100000,1.0,9,grid3x3,10.08718019667375,10.588172164539888,0.40354171534950634
impact_privacy_budget,PTF-PBDOO-strong,6,100000,1.0,9,grid3x3,10.112118532794627,10.613045733000325,0.4085363080223872
impact_privacy_budget,PTF-PBDOO-strong,7,100000,1.0,9,grid3x3,10.079717135281761,10.580940329221214,0.4022220303809895
impact_privacy_budget,PTF-PBDOO-strong,8,100000,1.0,9,grid3x3,10.074953992596459,10.576180294759032,0.4040662868984794
impact_privacy_budget,PTF-PBDOO-strong,9,100000,1.0,9,grid3x3,10.07213253082142,10.573493127222838,0.40546140086046345
impact_privacy_budget,BDOO-convex,0,100000,10.0,9,grid3x3,0.02449609883158653,0.05720125936444038,0.04846724657513406
impact_privacy_budget,BDOO-convex,1,100000,10.0,9,grid3x3,0.018094289119054613,0.05082255849458145,0.04475074935244257
impact_privacy_budget,BDOO-convex,2,100000,10.0,9,grid3x3,0.013074221059703808,0.0459185505021572,0.03806474009727379
impact_privacy_budget,BDOO-convex,3,100000,10.0,9,grid3x3,0.015891096196746723,0.048534380062552694,0.042798134264556933
impact_privacy_budget,BDOO-convex,4,100000,10.0,9,grid3x3,0.01549104835820294,0.048035905369117525,0.04166714763334759
impact_privacy_budget,BDOO-convex,5,100000,10.0,9,grid3x3,0.01855507565521318,0.05111597966791163,0.04437980613947471
impact_privacy_budget,BDOO-convex,6,100000,10.0,9,grid3x3,0.015161502292432308,0.04794507108554806,0.041100273807304806
impact_privacy_budget,BDOO-convex,7,100000,10.0,9,grid3x3,0.018241861176869684,0.050829400602671895,0.04382851004584717
impact_privacy_budget,BDOO-convex,8,100000,10.0,9,grid3x3,0.02739988303149856,0.059992964602817986,0.05341578617529213
impact_privacy_budget,BDOO-convex,9,100000,10.0,9,grid3x3,0.020059868717526297,0.0528228529355653,0.04603005970234506
impact_privacy_budget,PBDOO-cor1,0,100000,10.0,9,grid3x3,2.5585866622780653,2.591291822810919,0.9307670594942651
impact_privacy_budget,PBDOO-cor1,1,100000,10.0,9,grid3x3,2.569237298945853,2.60196556832138,0.9406619678729925
impact_privacy_budget,PBDOO-cor1,2,100000,10.0,9,grid3x3,2.5593407904205487,2.592185119863002,0.9248890384611328
impact_privacy_budget,PBDOO-cor1,3,100000,10.0,9,grid3x3,2.5469715421123773,2.5796148259781835,0.9238535861072666
impact_privacy_budget,PBDOO-cor1,4,100000,10.0,9,grid3x3,2.579159944148489,2.6117048011594037,0.9415101352793287
impact_privacy_budget,PBDOO-cor1,5,100000,10.0,9,grid3x3,2.559260397252965,2.5918213012656635,0.926565101501578
impact_privacy_budget,PBDOO-cor1,6,100000,10.0,9,grid3x3,2.5496097810011187,2.5823933497942346,0.9180626331179697
impact_privacy_budget,PBDOO-cor1,7,100000,10.0,9,grid3x3,2.5550517550100458,2.587639294435848,0.9269579852866185
impact_privacy_budget,PBDOO-cor1,8,100000,10.0,9,grid3x3,2.566611952735623,2.599205034306942,0.9318448876419876
impact_privacy_budget,PBDOO-cor1,9,100000,10.0,9,grid3x3,2.558051211167816,2.590814195385855,0.9318111493044158
impact_privacy_budget,PTF-PBDOO-cor1,0,100000,10.0,9,grid3x3,0.30779762324526455,0.3405027837780788,0.13949723106709547
impact_privacy_budget,PTF-PBDOO-cor1,1,100000,10.0,9,grid3x3,0.30800251154444364,0.34073078091993503,0.13960832799256048
impact_privacy_budget,PTF-PBDOO-cor1,2,100000,10.0,9,grid3x3,0.30778831209691765,0.34063264153934103,0.13957521521611715
impact_privacy_budget,PTF-PBDOO-cor1,3,100000,10.0,9,grid3x3,0.3078733853556192,0.34051666922140317,0.13958818020484967
impact_privacy_budget,PTF-PBDOO-cor1,4,100000,10.0,9,grid3x3,0.30807280045180524,0.34061765746270495,0.13910104666737558
impact_privacy_budget,PTF-PBDOO-cor1,5,100000,10.0,9,grid3x3,0.30851771860309396,0.341078622615768,0.1397666625857361
impact_privacy_budget,PTF-PBDOO-cor1,6,100000,10.0,9,grid3x3,0.30816591939311144,0.34094948818620496,0.13993821641474732
impact_privacy_budget,PTF-PBDOO-cor1,7,100000,10.0,9,grid3x3,0.3080682496854928,0.3406557891112292,0.13958967746754505
impact_privacy_budget,PTF-PBDOO-cor1,8,100000,10.0,9,grid3x3,0.30812086097300734,0.34071394254427656,0.13930416733612572
impact_privacy_budget,PTF-PBDOO-cor1,9,100000,10.0,9,grid3x3,0.3089622452438464,0.34172522946183975,0.14016605726398884
impact_privacy_budget,PBDOO-strong,0,100000,10.0,9,grid3x3,7.539442621010163,8.040834293350446,0.3913402199966633
impact_privacy_budget,PBDOO-strong,1,100000,10.0,9,grid3x3,7.545509595742384,8.04685187012345,0.390237725510865
impact_privacy_budget,PBDOO-strong,2,100000,10.0,9,grid3x3,7.523386350480951,8.024734104473616,0.38923809015409944
impact_privacy_budget,PBDOO-strong,3,100000,10.0,9,grid3x3,7.526294219434032,8.02715400495019,0.38912834602081825
impact_privacy_budget,PBDOO-strong,4,100000,10.0,9,grid3x3,7.540711944397968,8.041792039260034,0.38799687683194817
impact_privacy_budget,PBDOO-strong,5,100000,10.0,9,grid3x3,7.5510377478296675,8.052103172501198,0.38834693679457083
impact_privacy_budget,PBDOO-strong,6,100000,10.0,9,grid3x3,7.537842915715556,8.039252876097716,0.3898192047127309
impact_privacy_budget,PBDOO-strong,7,100000,10.0,9,grid3x3,7.542775912244018,8.04387781014243,0.3904489723584868
impact_privacy_budget,PBDOO-strong,8,100000,10.0,9,grid3x3,7.518283239824304,8.019655297123178,0.38867727662510954
impact_privacy_budget,PBDOO-strong,9,100000,10.0,9,grid3x3,7.553998385262774,8.055421831995542,0.3893824898327147
impact_privacy_budget,PTF-PBDOO-strong,0,100000,10.0,9,grid3x3,3.542863336746924,4.044255009087114,0.273115925713454
impact_privacy_budget,PTF-PBDOO-strong,1,100000,10.0,9,grid3x3,3.5440927979308556,4.045435072311827,0.27364497504207136
impact_privacy_budget,PTF-PBDOO-strong,2,100000,10.0,9,grid3x3,3.5418834908166725,4.043231244809252,0.27338795415241435
impact_privacy_budget,PTF-PBDOO-strong,3,100000,10.0,9,grid3x3,3.543927730160809,4.0447875156768855,0.2739078873572244
impact_privacy_budget,PTF-PBDOO-strong,4,100000,10.0,9,grid3x3,3.5456621612005543,4.046742256062549,0.2729325487108071
impact_privacy_budget,PTF-PBDOO-strong,5,100000,10.0,9,grid3x3,3.5441407229723456,4.045206147643803,0.27270621372408477
impact_privacy_budget,PTF-PBDOO-strong,6,100000,10.0,9,grid3x3,3.5439470593441937,4.045357019726278,0.2733254482741051
impact_privacy_budget,PTF-PBDOO-strong,7,100000,10.0,9,grid3x3,3.5431932161141404,4.04429511401245,0.27341082391610083
impact_privacy_budget,PTF-PBDOO-strong,8,100000,10.0,9,grid3x3,3.5440587582699674,4.045430815568756,0.2726881704304567
impact_privacy_budget,PTF-PBDOO-strong,9,100000,10.0,9,grid3x3,3.545664744307998,4.0470881910406815,0.27272688288165364
